event_id,workflow_id,event_type,source,severity,estimated_clients_affected,estimated_impact,note
EV-BA006-5,BA006,Data gap,Client advocate interview,High,343,55489,Client needed clearer plain-language guidance.
EV-BA006-6,BA006,Data gap,Partner firm interview,Medium,1168,84330,Repeated uncertainty during intake handoff.
EV-BA007-1,BA007,Firm feedback,Intake funnel telemetry,High,1662,71766,Client needed clearer plain-language guidance.
EV-BA007-2,BA007,Firm feedback,Legal ops policy review,High,1032,41174,Firm preference mismatch created extra advocate work.
EV-BA007-3,BA007,Firm feedback,Intake funnel telemetry,High,2155,115286,"Metric was tracked, but not actionable for roadmap review."
EV-BA007-4,BA007,User friction,Partner firm interview,High,1829,21339,Routing rule did not reflect current capacity.
EV-BA007-5,BA007,User friction,Partner firm interview,High,1284,28582,Repeated uncertainty during intake handoff.
EV-BA007-6,BA007,Firm feedback,Client advocate interview,Medium,648,78352,Client needed clearer plain-language guidance.
EV-BA008-1,BA008,Support escalation,Intake funnel telemetry,Medium,682,105677,"Metric was tracked, but not actionable for roadmap review."
EV-BA008-2,BA008,Support escalation,Intake funnel telemetry,Critical,1047,117651,Repeated uncertainty during intake handoff.
EV-BA008-3,BA008,Firm feedback,Client advocate interview,Medium,1973,44349,Firm preference mismatch created extra advocate work.
EV-BA008-4,BA008,Data gap,Partner firm interview,High,231,79052,Routing rule did not reflect current capacity.
EV-BA008-5,BA008,Data gap,Support transcript review,Critical,583,125775,Firm preference mismatch created extra advocate work.
EV-BA008-6,BA008,Support escalation,Partner firm interview,Critical,465,62469,"Metric was tracked, but not actionable for roadmap review."
EV-BA009-1,BA009,Support escalation,Client advocate interview,High,540,99156,"Metric was tracked, but not actionable for roadmap review."
EV-BA009-2,BA009,Firm feedback,Intake funnel telemetry,High,378,28654,Routing rule did not reflect current capacity.
EV-BA009-3,BA009,Data gap,Support transcript review,Medium,323,143071,Repeated uncertainty during intake handoff.
EV-BA009-4,BA009,Data gap,Client advocate interview,Critical,2020,64853,Firm preference mismatch created extra advocate work.
EV-BA009-5,BA009,Policy risk,Support transcript review,Medium,1654,59530,Repeated uncertainty during intake handoff.
EV-BA009-6,BA009,Support escalation,Intake funnel telemetry,Medium,1180,79333,Repeated uncertainty during intake handoff.
EV-BA010-1,BA010,Experiment idea,Intake funnel telemetry,High,1056,61220,Routing rule did not reflect current capacity.
EV-BA010-2,BA010,Firm feedback,Partner firm interview,High,730,96266,Firm preference mismatch created extra advocate work.
EV-BA010-3,BA010,Support escalation,Intake funnel telemetry,Medium,982,49944,Repeated uncertainty during intake handoff.
EV-BA010-4,BA010,Data gap,Partner firm interview,High,726,39852,Repeated uncertainty during intake handoff.
EV-BA010-5,BA010,Data gap,Intake funnel telemetry,Medium,754,129479,Routing rule did not reflect current capacity.
EV-BA010-6,BA010,User friction,Support transcript review,Critical,751,49169,"Metric was tracked, but not actionable for roadmap review."
